buying,maint,doors,persons,lug_boot,safety,class
vhigh,low,5more,2,med,high,unacc
vhigh,low,5more,2,big,low,
vhigh,low,5more,2,big,med,unacc
vhigh,low,5more,2,big,high,unacc
vhigh,low,5more,4,small,low,unacc
vhigh,low,,4,small,med,unacc
vhigh,low,5more,4,small,high,acc
vhigh,,5more,,med,low,unacc
vhigh,low,5more,4,,med,acc
vhigh,low,5more,4,med,high,
vhigh,low,5more,4,big,low,unacc
vhigh,low,5more,4,big,med,acc
vhigh,low,5more,4,big,high,acc
,low,5more,more,small,low,unacc
vhigh,low,5more,,small,med,unacc
vhigh,low,5more,more,small,high,acc
vhigh,low,5more,more,med,low,
vhigh,low,5more,more,med,,acc
vhigh,low,5more,more,med,high,acc
vhigh,low,5more,more,big,low,unacc
vhigh,low,5more,more,big,med,acc
vhigh,low,5more,more,big,high,acc
high,vhigh,2,2,small,low,unacc
high,vhigh,2,2,small,med,unacc
high,vhigh,2,2,small,high,unacc
high,vhigh,2,2,med,low,unacc
high,vhigh,2,2,med,med,unacc
high,vhigh,2,2,med,high,unacc
high,vhigh,2,2,big,low,unacc
high,vhigh,2,2,big,med,unacc
high,vhigh,2,,big,high,unacc
high,vhigh,2,4,small,low,unacc
high,vhigh,2,4,small,med,unacc
high,vhigh,2,4,small,high,unacc
high,vhigh,2,4,med,low,unacc
high,vhigh,2,4,med,med,unacc
high,,2,4,med,high,unacc
high,vhigh,2,4,big,low,
high,vhigh,2,4,big,med,unacc
high,vhigh,2,4,big,high,unacc
high,vhigh,2,more,small,low,unacc
high,vhigh,2,more,small,med,unacc
high,vhigh,2,more,small,high,unacc
high,vhigh,2,more,med,low,unacc
high,vhigh,2,more,med,med,unacc
high,vhigh,2,more,med,high,unacc
high,vhigh,2,more,,low,unacc
high,vhigh,2,more,big,med,unacc
high,vhigh,2,more,big,high,
high,vhigh,3,2,small,low,unacc
high,vhigh,3,2,small,med,unacc
,vhigh,3,2,small,high,unacc
high,vhigh,3,2,med,low,unacc
,vhigh,3,2,med,med,
,vhigh,3,2,med,high,unacc
high,,3,,big,low,unacc
high,vhigh,3,2,big,med,unacc
high,vhigh,3,2,,,unacc
high,vhigh,3,4,small,low,unacc
high,vhigh,3,4,,med,unacc
high,vhigh,3,4,small,high,unacc
high,,3,4,med,low,unacc
high,vhigh,3,4,med,med,unacc
high,vhigh,3,4,med,high,unacc
high,vhigh,3,4,big,low,unacc
,vhigh,3,4,big,med,unacc
high,vhigh,3,4,big,high,unacc
high,vhigh,3,more,small,low,unacc
high,vhigh,3,more,small,med,unacc
high,vhigh,3,more,,high,unacc
,vhigh,3,more,med,low,unacc
high,vhigh,3,more,med,med,unacc
high,vhigh,3,more,med,high,unacc
high,vhigh,3,more,big,low,unacc
high,vhigh,3,more,big,med,unacc
high,vhigh,3,more,big,high,unacc
high,vhigh,4,2,small,low,unacc
high,vhigh,4,2,small,med,
high,vhigh,4,2,,,unacc
high,vhigh,4,2,med,low,unacc
high,vhigh,4,2,med,med,unacc
high,vhigh,4,2,med,high,unacc
high,vhigh,4,2,big,low,unacc
high,vhigh,4,2,big,,unacc
high,vhigh,,2,big,,unacc
high,vhigh,4,4,small,low,unacc
high,vhigh,4,4,small,med,unacc
high,vhigh,4,4,small,high,unacc
,vhigh,4,4,med,low,unacc
high,vhigh,4,4,med,med,unacc
high,,4,4,med,high,unacc
high,vhigh,4,,big,low,unacc
high,vhigh,4,4,big,med,
high,vhigh,4,4,big,high,unacc
high,vhigh,4,more,small,low,unacc
high,vhigh,4,more,small,med,
high,vhigh,4,more,small,high,unacc
high,vhigh,4,more,med,low,unacc
high,vhigh,4,more,med,med,unacc
high,vhigh,4,more,med,high,unacc
high,vhigh,4,more,big,low,unacc
high,vhigh,4,more,big,med,unacc
high,vhigh,4,more,big,,unacc
high,vhigh,5more,,,low,unacc
high,vhigh,5more,2,small,med,unacc
high,vhigh,5more,2,small,high,unacc
high,vhigh,5more,2,med,low,unacc
high,vhigh,5more,2,med,,unacc
high,vhigh,5more,2,med,high,unacc
high,vhigh,5more,2,,low,unacc
high,vhigh,5more,2,big,med,unacc
high,vhigh,5more,2,big,high,unacc
high,vhigh,5more,4,small,low,unacc
high,vhigh,5more,4,small,med,unacc
high,vhigh,5more,4,small,high,unacc
high,vhigh,5more,4,med,low,
high,vhigh,5more,4,med,,unacc
high,vhigh,5more,4,med,high,unacc
high,vhigh,5more,4,big,low,unacc
high,vhigh,5more,4,big,,unacc
high,vhigh,5more,4,big,high,unacc
high,vhigh,5more,more,small,low,unacc
high,vhigh,5more,more,small,med,unacc
high,vhigh,5more,more,small,high,unacc
high,vhigh,5more,more,med,,unacc
high,vhigh,,more,,med,unacc
high,vhigh,5more,more,med,high,unacc
high,vhigh,5more,more,big,low,unacc
high,vhigh,5more,more,big,med,unacc
high,vhigh,5more,more,big,high,unacc
high,high,2,2,small,low,unacc
high,high,2,2,small,med,unacc
high,high,2,2,small,high,unacc
,high,2,2,med,low,unacc
high,high,2,2,,med,unacc
,high,2,2,med,high,unacc
high,high,2,2,big,low,unacc
high,high,2,2,big,med,unacc
high,high,2,2,big,high,unacc
high,high,2,4,small,low,unacc
high,high,2,4,small,med,unacc
high,high,2,4,small,high,
high,high,2,4,med,low,unacc
high,high,2,4,med,med,unacc
high,high,2,4,med,high,acc
high,high,2,4,big,low,unacc
high,high,2,,big,med,acc
high,high,2,4,big,high,acc
high,high,2,more,small,low,unacc
high,high,2,more,small,med,unacc
high,high,2,more,small,high,unacc
high,high,2,more,,low,unacc
high,high,2,more,med,med,unacc
high,high,,more,med,high,acc
high,high,2,more,big,,
high,high,2,more,big,med,acc
high,high,2,more,big,high,acc
high,high,3,2,small,low,
high,high,3,2,small,med,unacc
high,high,3,2,small,high,unacc
high,,3,,med,low,unacc
high,high,3,2,med,med,unacc
high,high,3,2,med,high,unacc
high,high,3,2,big,low,unacc
high,high,3,2,big,med,unacc
high,high,3,2,big,high,unacc
high,high,3,4,small,low,unacc
high,high,3,4,small,med,unacc
,high,3,4,,high,acc
high,high,3,4,med,low,unacc
high,high,3,4,med,med,unacc
high,high,3,4,med,high,acc
high,high,3,4,,low,unacc
high,high,3,,big,med,acc
high,high,3,,big,high,acc
high,high,3,more,small,low,unacc
high,high,3,more,small,med,unacc
high,,3,more,small,high,acc
high,high,3,more,med,low,unacc
high,high,3,more,med,med,acc
high,high,3,more,med,high,acc
high,high,3,more,big,low,unacc
high,high,3,more,big,,acc
high,high,3,more,big,high,acc
high,high,4,2,small,low,unacc
high,high,4,2,small,med,unacc
high,high,4,2,small,high,unacc
high,high,4,2,med,low,unacc
high,high,4,2,med,med,unacc
high,high,4,2,med,high,unacc
high,high,4,2,big,low,unacc
high,high,4,2,big,med,unacc
high,high,4,2,big,high,unacc
high,high,4,4,small,low,unacc
high,high,4,4,small,med,unacc
high,high,4,4,small,high,acc
high,high,4,4,med,low,unacc
high,high,4,4,med,med,
high,,4,4,med,high,acc
high,high,4,4,big,low,unacc
high,high,4,4,big,med,acc
high,high,4,4,big,high,acc
high,high,4,more,small,low,unacc
high,high,4,more,small,med,unacc
high,high,4,more,small,high,acc
high,high,4,more,,low,unacc
high,high,4,more,med,,acc
high,high,4,more,med,high,acc
high,high,4,more,big,low,unacc
high,high,4,more,big,med,acc
high,high,4,more,big,high,acc
high,high,5more,2,small,low,unacc
high,high,5more,,small,med,unacc
high,high,,2,small,high,unacc
high,high,5more,2,med,low,unacc
high,,5more,2,,med,unacc
high,high,5more,2,med,high,unacc
high,,5more,2,big,low,unacc
high,high,5more,2,big,,unacc
high,high,,2,big,,unacc
high,,,4,small,,unacc
high,high,5more,4,small,med,
high,,5more,4,small,high,acc
high,high,5more,4,med,low,
high,high,5more,4,med,,acc
high,high,5more,4,med,high,acc
high,high,5more,4,big,low,unacc
high,high,5more,4,big,med,acc
high,high,,4,big,high,acc
high,high,5more,more,small,low,unacc
high,high,5more,more,small,med,unacc
high,high,5more,more,small,high,acc
high,high,5more,more,med,low,unacc
high,high,5more,more,med,med,acc
high,high,5more,more,med,high,acc
,high,5more,more,big,low,
high,high,5more,more,big,med,acc
high,high,5more,more,big,high,acc
high,med,2,2,small,low,unacc
high,med,2,2,small,med,unacc
high,med,2,2,small,high,unacc
high,med,2,2,med,low,unacc
high,med,2,,med,med,unacc
high,,2,2,med,high,unacc
high,med,2,2,big,low,unacc
high,med,2,2,big,med,unacc
high,med,2,2,big,high,unacc
high,med,2,4,,low,unacc
high,med,2,4,small,med,unacc
high,med,2,4,small,high,
high,med,2,,med,low,unacc
high,med,2,4,med,med,unacc
high,med,2,4,med,high,acc
high,med,2,4,big,low,unacc
high,med,2,4,big,med,acc
high,med,2,4,big,high,
high,med,2,more,small,low,unacc
high,med,2,more,small,med,unacc
high,med,2,more,small,high,unacc
,med,2,more,med,low,unacc
high,med,2,more,med,med,unacc
high,med,2,more,med,high,acc
high,med,2,more,big,low,unacc
high,med,2,more,big,med,acc
high,med,2,more,big,high,acc
,med,3,2,small,low,unacc
high,med,3,2,,med,unacc
high,med,3,2,small,high,unacc
high,med,3,2,,low,unacc
high,med,3,2,med,med,unacc
high,med,3,2,med,high,unacc
,med,3,2,big,,unacc
high,med,3,,big,med,unacc
high,med,3,2,,high,
high,med,,4,small,low,unacc
high,med,3,4,small,med,unacc
high,med,3,4,small,high,acc
high,med,3,4,med,low,unacc
high,med,3,4,med,med,unacc
high,med,3,4,med,high,
high,med,3,4,big,low,unacc
high,med,3,,big,med,acc
high,med,3,4,big,high,acc
high,med,3,more,small,low,unacc
high,med,3,more,small,med,unacc
high,med,3,more,small,high,acc
high,med,3,more,med,low,unacc
high,med,3,more,med,med,acc
high,med,3,more,med,high,acc
high,med,3,more,big,low,unacc
high,med,3,more,big,med,acc
high,med,3,more,big,high,acc
high,med,4,2,small,low,unacc
high,med,4,2,small,med,unacc
high,med,4,2,small,high,unacc
high,med,4,2,med,low,unacc
high,med,4,,med,med,unacc
high,med,,2,med,high,unacc
high,med,4,2,big,low,unacc
high,,4,2,big,med,unacc
high,med,,2,big,,unacc
high,med,4,4,small,low,unacc
high,med,4,4,small,med,unacc
high,med,4,4,small,high,acc
high,med,4,4,med,low,unacc
high,med,4,4,med,med,acc
high,med,4,4,med,high,acc
high,med,4,4,big,low,unacc
high,med,4,4,big,med,acc
high,,4,4,big,high,acc
high,med,4,more,small,low,unacc
high,med,4,more,small,med,unacc
high,med,4,more,small,high,acc
high,med,4,more,med,low,unacc
high,med,4,more,med,med,acc
high,med,4,more,med,high,acc
high,med,4,more,big,low,unacc
high,med,4,more,big,med,acc
high,med,4,more,,high,acc
high,med,5more,2,small,low,unacc
high,med,,2,small,med,unacc
high,med,5more,2,small,high,unacc
high,med,5more,,med,low,unacc
high,med,5more,2,med,med,unacc
high,med,5more,2,med,,unacc
high,med,5more,2,,low,unacc
high,med,5more,,,med,unacc
high,med,5more,2,big,high,unacc
high,med,5more,4,small,low,unacc
high,med,5more,4,small,med,unacc
,med,5more,4,small,high,acc
high,med,5more,4,med,low,unacc
high,med,,4,med,med,acc
high,med,5more,4,med,,acc
high,med,5more,4,big,low,unacc
high,med,,4,big,med,acc
high,med,5more,4,big,high,acc
high,,5more,more,small,low,unacc
high,med,5more,more,small,med,unacc
high,,5more,more,small,high,acc
high,med,5more,more,med,low,unacc
,med,5more,more,med,med,acc
high,med,5more,more,med,high,acc
high,med,5more,more,big,low,unacc
high,med,5more,more,big,med,acc
high,med,5more,more,big,high,acc
high,low,2,2,small,low,unacc
high,low,2,2,small,med,unacc
high,low,2,2,small,high,unacc
high,low,2,2,med,low,unacc
high,low,2,2,med,med,unacc
high,low,2,2,med,high,unacc
high,low,2,2,big,low,unacc
high,low,2,2,big,,unacc
high,low,2,2,big,high,unacc
,low,2,4,small,low,unacc
high,low,2,4,small,med,unacc
high,low,2,4,small,high,acc
high,low,2,4,med,low,unacc
high,low,2,4,med,med,unacc
,low,2,4,med,high,acc
high,low,2,4,big,low,unacc
high,,2,4,big,med,acc
high,low,2,4,big,,acc
high,low,2,more,small,low,unacc
high,low,2,more,small,,unacc
high,low,2,more,small,high,unacc
